ExerciseID,Name,CollectionNumber,StarterCode,SampleSolution,ExerciseType,Points
1890,Position and Size Checkpoint 4,1.1.2.1,"# Move this rectangle to match the solution canvas.
### (HINT: Change the left-top to (50, 50)!)
### Fix Your Code Here ###
Rect(150, 150, 100, 100)
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Move this rectangle to match the solution canvas.
Rect(50, 50, 100, 100)
",regular,1
1892,Position and Size Checkpoint 6,1.1.2.1,"# Match the solution!
### (HINT: This has an error!)
### Fix Your Code Here ###
Rect(50 100 150 200)
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Match the solution!
Rect(50, 100, 150, 200)
",regular,1
1891,Position and Size Checkpoint 5,1.1.2.1,"# Match the solution!
### (HINT: This has an error!)
### Fix Your Code Here ###
rect(50, 100, 150, 200)
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Match the solution!
Rect(50, 100, 150, 200)
",regular,1
1897,Cat face,1.1.3,"# Use the Inspector to help draw the cat's head.
### (HINT: None of the rectangles in this image overlap, except on the borders.)
### (HINT: The cat's forehead and chin are each one big rectangle. The eyes are
#          made by drawing three rectangles that connect the forehead and chin.)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Use the Inspector to help draw the cat's head.
# Draw the head.
Rect(100, 150, 200, 65)
Rect(100, 250, 200, 80)
Rect(100, 215, 40, 35)
Rect(175, 215, 50, 35)
Rect(260, 215, 40, 35)

# Draw the eyes.
Rect(155, 230, 15, 15)
Rect(230, 230, 15, 15)

# Draw the ears.
Rect(100, 120, 40, 30)
Rect(100, 85, 15, 35)
Rect(260, 120, 40, 30)
Rect(285, 85, 15, 35)
",regular,2
1894,Draw three rectangles,1.1.3,"# Draw three rectangles to match the solution.
### (HINT: Use the Inspector to find the left, top, width, and height!)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw three rectangles to match the solution.
Rect(0, 200, 100, 200)
Rect(100, 0, 300, 200)
Rect(200, 300, 200, 100)
",regular,1
1896,Serious Face,1.1.3,"# Draw two eyes and a mouth to create a serious face.
### (HINT: Use the Inspector to find the left, top, width, and height!)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw two eyes and a mouth to create a serious face.
# Eyes
Rect(100, 120, 30, 80)
Rect(270, 120, 30, 80)

# Mouth
Rect(150, 300, 100, 10)
Rect(180, 320, 40, 20)
",regular,1
1893,Draw two rectangles,1.1.3,"# Draw two rectangles to match the solution.
### (HINT: Use the Inspector to find the left, top, width, and height!)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw two rectangles to match the solution.
Rect(0, 200, 200, 200)
Rect(200, 0, 200, 200)
",regular,1
1895,Pickaxe,1.1.3,"# Draw the handle using 4 rectangles and then draw the pick.
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw the handle using 4 rectangles and then draw the pick.
# Handle
Rect(125, 125, 75, 75)
Rect(200, 200, 75, 75)
Rect(275, 275, 75, 75)
Rect(50, 50, 40, 40)

# Pick
Rect(100, 50, 200, 40)
Rect(50, 100, 40, 200)
",regular,2
1898,Fills and Borders Checkpoint 1,1.2.1.1,"# Fix this code to draw a green square!
### (HINT: Use Rect to draw a square!)
### (HINT: This has an error!)
### Fix Your Code Here ###
Rect(150, 150, 100, 100, 'green')
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

Rect(150, 150, 100, 100, fill='green')
",regular,1
1899,Fills and Borders Checkpoint 2,1.2.1.1,"# Fix the error in this code so it draws a 100x100
# brown square centered in the canvas.

### (HINT: Use Rect to draw a square!)
### (HINT: This has two errors!)
### Fix Your Code Here ###
Rect(fill=brown, 150, 150, 100, 100)
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

Rect(150, 150, 100, 100, fill='brown')
",regular,1
