StudentID,ClassroomID,TeacherID,SchoolID
393219,29033,206573,7820
131077,11359,56373,4774
208414,17149,83615,5147
131080,11145,90064,5260
393224,26517,5558,103
218825,17760,121433,5809
393227,26517,5558,103
393228,26517,5558,103
393229,26517,5558,103
131086,11150,10256,166
393231,26517,5558,103
393225,26517,5558,103
393233,26517,5558,103
393234,26517,5558,103
262162,20459,7994,956
131092,6977,5548,260
131090,11145,90064,5260
393235,26517,5558,103
131095,11156,6082,462
131096,11145,90064,5260
131097,11139,90064,5260
393239,26517,5558,103
131099,11145,90064,5260
131100,11139,90064,5260
393244,29067,33550,2186
131098,11145,90064,5260
393247,28969,182746,4347
393249,28969,182746,4347
393251,29039,6062,225
131107,11145,90064,5260
131109,11143,10256,166
393254,29112,118778,4347
262183,20458,7994,956
262184,20458,7994,956
262185,20458,7994,956
262186,20458,7994,956
131115,11139,90064,5260
262188,20458,7994,956
131117,11361,59604,4848
131118,11361,59604,4848
262191,20458,7994,956
262192,20458,7994,956
262193,20458,7994,956
262194,20458,7994,956
262189,20458,7994,956
262196,20458,7994,956
131125,11361,59604,4848
262197,20458,7994,956
131127,11361,59604,4848
131128,11361,59604,4848
131129,11361,59604,4848
262195,20458,7994,956
393275,29067,33550,2186
262204,20459,7994,956
262205,20459,7994,956
262206,20459,7994,956
262207,20459,7994,956
262208,20459,7994,956
262209,20459,7994,956
262210,20459,7994,956
262211,20459,7994,956
262212,20459,7994,956
262213,20459,7994,956
262214,20459,7994,956
390789,28969,182746,4347
390794,28969,182746,4347
131179,13690,47062,
131180,13690,47062,
131181,13690,47062,
390796,28969,182746,4347
393337,19717,13219,351
393338,22114,11757,293
393342,20474,161810,6596
393343,25934,31953,2066
393344,20452,13219,351
359503,26815,14246,1937
390801,28969,182746,4347
262289,19290,240525,8093
131218,7203,61932,4896
131225,10643,92388,3812
393378,28373,377525,9873
78188,6462,50173,517
131241,11141,90064,5260
393395,29112,118778,4347
393396,29131,118778,4347
393397,29131,118778,4347
393398,29131,118778,4347
393399,29131,118778,4347
78191,5888,23992,133
393401,29131,118778,4347
393400,29131,118778,4347
393403,29131,118778,4347
393404,29131,118778,4347
393402,29131,118778,4347
393406,29131,118778,4347
393407,29131,118778,4347
131264,11145,90064,5260
393408,29131,118778,4347
393410,29131,118778,4347
393411,29131,118778,4347
262337,20466,206666,3595
393413,29131,118778,4347
393414,29131,118778,4347
393415,29131,118778,4347
393416,29131,118778,4347
393417,29131,118778,4347
393412,29131,118778,4347
78194,7841,56373,4774
393426,28971,182746,4347
393427,28971,182746,4347
393428,28971,182746,4347
393435,26518,5558,103
393436,26518,5558,103
393437,26518,5558,103
393438,26518,5558,103
393439,26518,5558,103
393440,26518,5558,103
393441,26518,5558,103
393442,26518,5558,103
393443,26518,5558,103
359507,26815,14246,1937
131307,11151,90064,5260
131309,11370,81051,5120
131311,11370,81051,5120
131312,11370,81051,5120
131313,11370,81051,5120
390768,18809,218708,4500
131315,11370,81051,5120
131316,11370,81051,5120
131317,11370,81051,5120
131318,11370,81051,5120
390821,28971,182746,4347
131320,11370,81051,5120
131321,11370,81051,5120
390823,28971,182746,4347
131323,11370,81051,5120
131324,11370,81051,5120
131319,11370,81051,5120
131326,11370,81051,5120
131327,11370,81051,5120
131322,11370,81051,5120
286617,17828,196462,73
131330,11370,81051,5120
131331,11370,81051,5120
131332,11370,81051,5120
390824,28971,182746,4347
286618,17828,196462,73
131335,11370,81051,5120
131336,11295,14855,323
131337,10943,51548,3665
131338,11243,49658,4184
393482,25650,333330,9182
393480,25650,333330,9182
131339,11243,49658,4184
393485,25650,333330,9182
393487,25650,333330,9182
390827,28971,182746,4347
393484,26491,10344,1222
274,12276,233,427
286623,17828,196462,73
131357,7362,11101,517
131360,6049,12183,1012
131363,6049,12183,1012
131365,6049,12183,1012
131366,6049,12183,1012
131367,6049,12183,1012
393510,29112,118778,4347
131369,6049,12183,1012
390832,28971,182746,4347
131375,6049,12183,1012
131376,11372,81051,5120
131377,11372,81051,5120
131378,11372,81051,5120
131379,11372,81051,5120
131380,11372,81051,5120
131382,11372,81051,5120
131383,11372,81051,5120
131384,11372,81051,5120
131385,11372,81051,5120
262458,20293,10471,1167
131387,11372,81051,5120
131388,11372,81051,5120
131386,11372,81051,5120
131390,11372,81051,5120
262462,19467,200285,7700
131392,11372,81051,5120
131393,10573,119365,5775
131394,11372,81051,5120
262467,19467,200285,7700
262468,19467,200285,7700
262466,19467,200285,7700
131396,11372,81051,5120
131395,11372,81051,5120
131397,11372,81051,5120
262469,19467,200285,7700
262465,19467,200285,7700
390839,28696,382274,9974
131403,11372,81051,5120
131406,11372,81051,5120
131407,11132,19846,128
104273,9401,49567,4143
131409,11372,81051,5120
104274,9401,49567,4143
262485,19467,200285,7700
131415,11372,81051,5120
262488,19958,251252,7204
262489,19291,240525,8093
262490,20452,13219,351
390842,13037,154223,6411
