SubmissionID,ExerciseID,StudentID,StartDate,LastUpdateDate,NumberAutograderRuns,TimeOnTask,CodeHistoryLink,StudentCode
3158039,2225,394,2020-09-29 15:01:03.863059+00:00,2020-09-29 15:16:45.451455+00:00,1.0,9.0,https://backend.academy.cs.cmu.edu/a/user/394/files/3917403/1,
3647373,2283,394,2020-10-29 15:09:44.310674+00:00,2020-10-29 15:13:31.140109+00:00,1.0,35.0,https://backend.academy.cs.cmu.edu/a/user/394/files/4416764/1,
2822445,1930,23061,2020-09-10 14:54:39.899964+00:00,2020-09-10 17:46:01.620005+00:00,1.0,0.0,https://backend.academy.cs.cmu.edu/a/user/23061/files/3578068/1,
3432182,1998,23061,2020-10-15 18:01:14.155414+00:00,2020-10-16 17:52:02.420662+00:00,3.0,1.0,https://backend.academy.cs.cmu.edu/a/user/23061/files/4196779/1,
3677714,2063,23425,2020-10-30 20:18:19.635422+00:00,2020-10-30 20:21:28.065233+00:00,1.0,191.0,https://backend.academy.cs.cmu.edu/a/user/23425/files/4447175/1,
6210460,1986,25419,2021-05-25 13:46:51.622107+00:00,2021-05-25 13:47:29.665041+00:00,1.0,68.0,https://backend.academy.cs.cmu.edu/a/user/25419/files/7166030/1,
5807635,1933,25791,2021-04-26 11:06:24.308974+00:00,2021-04-26 11:21:35.644566+00:00,1.0,96.0,https://backend.academy.cs.cmu.edu/a/user/25791/files/6747747/1,
6136314,2000,25797,2021-05-18 16:54:26.871103+00:00,2021-05-18 16:56:20.331626+00:00,1.0,124.0,https://backend.academy.cs.cmu.edu/a/user/25797/files/7088695/1,
6021318,1975,25801,2021-05-10 11:19:10.440136+00:00,2021-05-10 11:20:14.361661+00:00,1.0,61.0,https://backend.academy.cs.cmu.edu/a/user/25801/files/6968595/1,
2774776,1893,25831,2020-09-08 13:42:14.996487+00:00,2020-09-08 13:42:14.996605+00:00,1.0,19.0,https://backend.academy.cs.cmu.edu/a/user/25831/files/3529777/1,
5905268,1920,29416,2021-04-30 13:18:35.950310+00:00,2021-04-30 13:18:35.950331+00:00,1.0,127.0,https://backend.academy.cs.cmu.edu/a/user/29416/files/6848135/1,
4286822,1892,30204,2020-12-15 15:24:49.482584+00:00,2020-12-15 15:24:49.482599+00:00,1.0,11.0,https://backend.academy.cs.cmu.edu/a/user/30204/files/5078764/1,
6384596,1986,32773,2021-06-22 09:48:44.290100+00:00,2021-06-22 09:51:15.243264+00:00,1.0,153.0,https://backend.academy.cs.cmu.edu/a/user/32773/files/7352894/1,
6260447,2065,34683,2021-05-31 07:11:35.958367+00:00,2021-05-31 07:15:17.531129+00:00,1.0,29.0,https://backend.academy.cs.cmu.edu/a/user/34683/files/7218568/1,
6245944,2064,34683,2021-05-27 22:14:35.055831+00:00,2021-05-27 22:15:53.007645+00:00,1.0,49.0,https://backend.academy.cs.cmu.edu/a/user/34683/files/7203385/1,
5423651,1902,38163,2021-03-22 14:12:22.794466+00:00,2021-03-22 14:13:38.950622+00:00,1.0,68.0,https://backend.academy.cs.cmu.edu/a/user/38163/files/6344961/1,
4209410,1934,38336,2020-12-09 14:04:14.497240+00:00,2020-12-09 14:04:14.497257+00:00,1.0,108.0,https://backend.academy.cs.cmu.edu/a/user/38336/files/4997053/1,
4204988,1902,48318,2020-12-09 00:00:43.316347+00:00,2020-12-09 00:01:24.669525+00:00,1.0,46.0,https://backend.academy.cs.cmu.edu/a/user/48318/files/4992495/1,
3682599,2063,50159,2020-11-01 17:06:11.744704+00:00,2020-11-01 17:07:59.897138+00:00,1.0,110.0,https://backend.academy.cs.cmu.edu/a/user/50159/files/4452114/1,
3568283,2035,50390,2020-10-24 01:23:35.456612+00:00,2020-10-24 01:31:31.157087+00:00,2.0,6.0,https://backend.academy.cs.cmu.edu/a/user/50390/files/4335922/1,
2606660,1922,50447,2020-08-17 19:44:09.974524+00:00,2020-08-17 19:46:42.849826+00:00,1.0,5.0,https://backend.academy.cs.cmu.edu/a/user/50447/files/3360064/1,
2640198,1934,50447,2020-08-21 22:02:11.634381+00:00,2020-08-21 22:04:17.995429+00:00,1.0,15.0,https://backend.academy.cs.cmu.edu/a/user/50447/files/3393736/1,
2859689,1979,50447,2020-09-11 20:53:41.690514+00:00,2020-09-11 20:57:43.806995+00:00,1.0,5.0,https://backend.academy.cs.cmu.edu/a/user/50447/files/3615573/1,
2967598,1990,50447,2020-09-17 18:01:05.864363+00:00,2020-09-17 18:42:11.112772+00:00,7.0,3.0,https://backend.academy.cs.cmu.edu/a/user/50447/files/3724751/1,
3288840,2019,50447,2020-10-06 19:39:29.925365+00:00,2020-10-06 19:42:06.954800+00:00,1.0,8.0,https://backend.academy.cs.cmu.edu/a/user/50447/files/4050217/1,
4139787,1966,50450,2020-12-04 02:01:20.934087+00:00,2020-12-04 02:02:59.347211+00:00,2.0,107.0,https://backend.academy.cs.cmu.edu/a/user/50450/files/4924981/1,
2612600,1893,51304,2020-08-19 17:03:22.857232+00:00,2020-08-20 01:13:25.733725+00:00,2.0,0.0,https://backend.academy.cs.cmu.edu/a/user/51304/files/3366054/1,
3147251,1990,51304,2020-09-29 01:22:26.026784+00:00,2020-09-30 01:04:47.765635+00:00,2.0,4.0,https://backend.academy.cs.cmu.edu/a/user/51304/files/3906543/1,
3412425,2020,51885,2020-10-14 20:08:58.725152+00:00,2020-12-01 20:52:42.753809+00:00,1.0,81.0,https://backend.academy.cs.cmu.edu/a/user/51885/files/4176353/1,
4447160,2035,51885,2021-01-08 21:02:12.994547+00:00,2021-01-08 21:04:21.078937+00:00,2.0,129.0,https://backend.academy.cs.cmu.edu/a/user/51885/files/5248137/1,
3247690,1965,51956,2020-10-05 12:13:54.606123+00:00,2020-10-05 12:26:34.548832+00:00,4.0,5.0,https://backend.academy.cs.cmu.edu/a/user/51956/files/4008465/1,
2733910,1950,52024,2020-09-03 15:03:53.264245+00:00,2020-09-09 14:56:19.567037+00:00,4.0,0.0,https://backend.academy.cs.cmu.edu/a/user/52024/files/3488553/1,
3641595,2073,52137,2020-10-29 12:33:04.431767+00:00,2020-10-29 12:38:57.132362+00:00,1.0,5.0,https://backend.academy.cs.cmu.edu/a/user/52137/files/4410829/1,
4120764,2103,52137,2020-12-03 13:27:02.807092+00:00,2020-12-03 13:28:34.682561+00:00,1.0,93.0,https://backend.academy.cs.cmu.edu/a/user/52137/files/4905413/1,
3418644,2039,52138,2020-10-15 12:50:49.860458+00:00,2020-10-19 12:30:03.116760+00:00,3.0,2.0,https://backend.academy.cs.cmu.edu/a/user/52138/files/4182660/1,
3724221,2103,52158,2020-11-04 15:47:31.914402+00:00,2020-11-04 15:48:48.781204+00:00,1.0,79.0,https://backend.academy.cs.cmu.edu/a/user/52158/files/4495203/1,
3085801,2015,52164,2020-09-24 14:41:04.392300+00:00,2020-09-25 15:26:13.885057+00:00,1.0,18.0,https://backend.academy.cs.cmu.edu/a/user/52164/files/3844240/1,
4305339,1898,52353,2020-12-16 17:49:59.146381+00:00,2020-12-16 17:50:13.299476+00:00,1.0,15.0,https://backend.academy.cs.cmu.edu/a/user/52353/files/5098157/1,
3468930,2019,52825,2020-10-19 14:47:59.114222+00:00,2020-12-11 02:26:43.341747+00:00,2.0,163.0,https://backend.academy.cs.cmu.edu/a/user/52825/files/4234439/1,
3582046,2021,52825,2020-10-26 14:45:01.274314+00:00,2020-10-26 14:51:06.214620+00:00,1.0,82.0,https://backend.academy.cs.cmu.edu/a/user/52825/files/4349933/1,
4255345,2063,52825,2020-12-11 20:01:37.432365+00:00,2020-12-11 20:03:33.619490+00:00,1.0,117.0,https://backend.academy.cs.cmu.edu/a/user/52825/files/5045406/1,
2762528,1923,52873,2020-09-05 16:33:03.911831+00:00,2020-09-05 17:11:22.840807+00:00,1.0,13.0,https://backend.academy.cs.cmu.edu/a/user/52873/files/3517426/1,
4315101,2077,52878,2020-12-17 15:16:30.191461+00:00,2020-12-17 15:19:30.097046+00:00,1.0,183.0,https://backend.academy.cs.cmu.edu/a/user/52878/files/5108213/1,
3915288,1917,53386,2020-11-17 04:41:10.936803+00:00,2020-11-17 04:42:31.616494+00:00,1.0,82.0,https://backend.academy.cs.cmu.edu/a/user/53386/files/4693193/1,
3666393,1981,53429,2020-10-30 13:54:29.165459+00:00,2020-10-30 13:55:09.775842+00:00,1.0,51.0,https://backend.academy.cs.cmu.edu/a/user/53429/files/4435658/1,
3127814,1988,53688,2020-09-28 00:22:35.532427+00:00,2020-09-28 00:24:00.843119+00:00,1.0,12.0,https://backend.academy.cs.cmu.edu/a/user/53688/files/3886753/1,
3904234,1926,53760,2020-11-16 17:23:02.224715+00:00,2020-11-16 17:25:39.799348+00:00,1.0,115.0,https://backend.academy.cs.cmu.edu/a/user/53760/files/4681892/1,
3228935,2017,54012,2020-10-02 15:08:02.832268+00:00,2020-10-02 15:35:37.009534+00:00,2.0,10.0,https://backend.academy.cs.cmu.edu/a/user/54012/files/3989402/1,
3560270,2061,54012,2020-10-23 15:54:49.058133+00:00,2020-10-23 16:05:01.372768+00:00,5.0,16.0,https://backend.academy.cs.cmu.edu/a/user/54012/files/4327790/1,
3648784,2071,54012,2020-10-29 15:48:21.446802+00:00,2020-10-29 15:58:00.609255+00:00,1.0,19.0,https://backend.academy.cs.cmu.edu/a/user/54012/files/4418203/1,
3648524,2072,54012,2020-10-29 15:41:03.577433+00:00,2020-10-29 15:48:14.230976+00:00,1.0,23.0,https://backend.academy.cs.cmu.edu/a/user/54012/files/4417938/1,
3471997,2042,54091,2020-10-19 16:07:48.342881+00:00,2020-10-19 16:13:36.776465+00:00,1.0,2.0,https://backend.academy.cs.cmu.edu/a/user/54091/files/4237531/1,
3633936,2069,54740,2020-10-28 18:10:14.321987+00:00,2020-10-28 18:18:41.113157+00:00,2.0,3.0,https://backend.academy.cs.cmu.edu/a/user/54740/files/4402996/1,
3142842,1930,54758,2020-09-28 18:47:03.085347+00:00,2020-09-28 19:04:35.323555+00:00,2.0,24.0,https://backend.academy.cs.cmu.edu/a/user/54758/files/3902068/1,
3168298,1936,54758,2020-09-29 19:05:40.407703+00:00,2020-09-30 18:49:06.182344+00:00,1.0,2.0,https://backend.academy.cs.cmu.edu/a/user/54758/files/3927792/1,
3591722,1968,54758,2020-10-26 18:56:43.345814+00:00,2020-10-26 19:07:43.739564+00:00,2.0,0.0,https://backend.academy.cs.cmu.edu/a/user/54758/files/4359892/1,
2787674,1908,54918,2020-09-08 19:08:34.912327+00:00,2020-09-08 19:15:18.151085+00:00,1.0,14.0,https://backend.academy.cs.cmu.edu/a/user/54918/files/3542846/1,
2787849,1909,54918,2020-09-08 19:15:23.976067+00:00,2020-09-08 19:23:31.698513+00:00,1.0,11.0,https://backend.academy.cs.cmu.edu/a/user/54918/files/3543023/1,
2857746,1915,54918,2020-09-11 18:48:33.977613+00:00,2020-09-11 18:58:42.597452+00:00,1.0,7.0,https://backend.academy.cs.cmu.edu/a/user/54918/files/3613616/1,
2917899,1925,54918,2020-09-15 19:05:12.682458+00:00,2020-09-15 20:25:43.630976+00:00,1.0,11.0,https://backend.academy.cs.cmu.edu/a/user/54918/files/3674269/1,
